  Time        X         Y         YAW
123.258000, -nan, -nan, -nan
137.067000, 1.785412, -0.633714, 1.824166
137.151000, 1.785412, -0.633714, 1.824168
137.265000, 1.785412, -0.633714, 1.824170
137.365000, 1.785412, -0.633714, 1.824172
137.467000, 1.785412, -0.633714, 1.824174
137.566000, 1.785412, -0.633714, 1.824176
137.663000, 1.785412, -0.633714, 1.824178
137.754000, 1.785183, -0.632829, 1.824728
137.862000, 1.784044, -0.628475, 1.829071
137.967000, 1.782067, -0.621116, 1.836607
138.063000, 1.779430, -0.611543, 1.842258
138.162000, 1.776254, -0.600220, 1.844312
138.231000, 1.773692, -0.591092, 1.848089
138.362000, 1.769581, -0.577167, 1.869182
138.464000, 1.754799, -0.575628, 1.879417
138.565000, 1.753633, -0.572064, 1.906908
138.663000, 1.753633, -0.572064, 1.945885
138.762000, 1.753633, -0.572064, 1.968114
138.858000, 1.753633, -0.572064, 1.968139
138.962000, 1.753633, -0.572064, 1.968141
139.065000, 1.753633, -0.572064, 1.968144
139.161000, 1.753633, -0.572064, 1.968145
139.263000, 1.753633, -0.572064, 1.968149
139.364000, 1.753633, -0.572064, 1.968153
139.453000, 1.753633, -0.572064, 1.968154
139.557000, 1.753633, -0.572064, 1.968157
139.659000, 1.753633, -0.572064, 1.968160
139.762000, 1.753633, -0.572064, 1.968162
139.860000, 1.753633, -0.572064, 1.968164
139.959000, 1.753633, -0.572064, 1.968168
140.050000, 1.753633, -0.572064, 1.968170
140.144000, 1.753633, -0.572064, 1.968174
140.261000, 1.753633, -0.572064, 1.968177
140.366000, 1.753633, -0.572064, 1.968180
140.453000, 1.753633, -0.572064, 1.968181
140.556000, 1.753633, -0.572064, 1.968185
140.664000, 1.753633, -0.572064, 1.968188
140.766000, 1.753633, -0.572064, 1.968193
140.856000, 1.753633, -0.572064, 1.968195
140.949000, 1.753633, -0.572064, 1.968196
141.061000, 1.753633, -0.572064, 1.968199
141.143000, 1.753633, -0.572064, 1.968200
141.261000, 1.753633, -0.572064, 1.968202
141.357000, 1.753633, -0.572064, 1.968204
141.459000, 1.753633, -0.572064, 1.968208
141.555000, 1.753633, -0.572064, 1.968212
141.652000, 1.753633, -0.572064, 1.968213
141.744000, 1.753633, -0.572064, 1.968216
141.856000, 1.753633, -0.572064, 1.968220
141.965000, 1.753633, -0.572064, 1.968222
142.050000, 1.753633, -0.572064, 1.968224
142.159000, 1.753633, -0.572064, 1.968229
142.257000, 1.753633, -0.572064, 1.968233
142.363000, 1.753633, -0.572064, 1.968235
142.456000, 1.753633, -0.572064, 1.968238
142.551000, 1.753633, -0.572064, 1.968241
142.660000, 1.753633, -0.572064, 1.968243
142.761000, 1.753633, -0.572064, 1.968244
142.866000, 1.753633, -0.572064, 1.968246
142.959000, 1.753633, -0.572064, 1.968248
143.066000, 1.753633, -0.572064, 1.968251
143.147000, 1.753633, -0.572064, 1.968254
143.250000, 1.753633, -0.572064, 1.968256
143.358000, 1.753633, -0.572064, 1.968257
143.458000, 1.753633, -0.572064, 1.968260
143.556000, 1.753633, -0.572064, 1.968263
143.651000, 1.753633, -0.572064, 1.968265
143.762000, 1.753633, -0.572064, 1.968267
143.858000, 1.753633, -0.572064, 1.968272
143.953000, 1.753633, -0.572064, 1.968275
144.055000, 1.753633, -0.572064, 1.968278
144.166000, 1.753633, -0.572064, 1.968280
144.247000, 1.753633, -0.572064, 1.968283
144.360000, 1.753633, -0.572064, 1.968287
144.461000, 1.753633, -0.572064, 1.968289
144.560000, 1.753633, -0.572064, 1.968292
