  Time        X         Y         YAW
123.253000, -nan, -nan, -nan
137.064000, 5.540105, -0.897369, -2.621306
137.151000, 5.540105, -0.897369, -2.621304
137.265000, 5.540105, -0.897369, -2.621301
137.364000, 5.540105, -0.897369, -2.621298
137.467000, 5.540105, -0.897369, -2.621295
137.560000, 5.540105, -0.897369, -2.621291
137.653000, 5.540105, -0.897369, -2.621290
137.755000, 5.540105, -0.897369, -2.621287
137.859000, 5.540105, -0.897369, -2.621284
137.962000, 5.540105, -0.897369, -2.621282
138.061000, 5.540105, -0.897369, -2.621281
138.161000, 5.540105, -0.897369, -2.621277
138.231000, 5.540105, -0.897369, -2.621275
138.362000, 5.540105, -0.897369, -2.621272
138.464000, 5.540105, -0.897369, -2.621271
138.565000, 5.540105, -0.897369, -2.621269
138.658000, 5.540105, -0.897369, -2.621265
138.762000, 5.540105, -0.897369, -2.621262
138.858000, 5.540105, -0.897369, -2.621262
138.965000, 5.540105, -0.897369, -2.621257
139.065000, 5.540105, -0.897369, -2.621256
139.155000, 5.540105, -0.897369, -2.621255
139.255000, 5.540105, -0.897369, -2.621253
139.364000, 5.540105, -0.897369, -2.621252
139.453000, 5.540105, -0.897369, -2.621249
139.557000, 5.540105, -0.897369, -2.621245
139.658000, 5.540105, -0.897369, -2.621245
139.763000, 5.540105, -0.897369, -2.621243
139.860000, 5.540105, -0.897369, -2.621239
139.961000, 5.540105, -0.897369, -2.621236
140.061000, 5.540105, -0.897369, -2.621234
140.144000, 5.540105, -0.897369, -2.621233
140.261000, 5.540105, -0.897369, -2.621229
140.366000, 5.540105, -0.897369, -2.621225
140.453000, 5.540105, -0.897369, -2.621222
140.564000, 5.540105, -0.897369, -2.621218
140.664000, 5.540105, -0.897369, -2.621217
140.766000, 5.540105, -0.897369, -2.621215
140.857000, 5.540105, -0.897369, -2.621209
140.950000, 5.540105, -0.897369, -2.621208
141.061000, 5.540105, -0.897369, -2.621205
141.143000, 5.540105, -0.897369, -2.621203
141.264000, 5.540105, -0.897369, -2.621200
141.362000, 5.540105, -0.897369, -2.621199
141.450000, 5.540105, -0.897369, -2.621197
141.558000, 5.540105, -0.897369, -2.621195
141.649000, 5.540105, -0.897369, -2.621191
141.751000, 5.540105, -0.897369, -2.621190
141.849000, 5.540105, -0.897369, -2.621186
141.967000, 5.540105, -0.897369, -2.621183
142.057000, 5.540105, -0.897369, -2.621178
142.167000, 5.540105, -0.897369, -2.621177
142.251000, 5.540105, -0.897369, -2.621173
142.366000, 5.540105, -0.897369, -2.621171
142.454000, 5.540105, -0.897369, -2.621170
142.548000, 5.540105, -0.897369, -2.621168
142.657000, 5.540105, -0.897369, -2.621164
142.747000, 5.540105, -0.897369, -2.621161
142.866000, 5.540105, -0.897369, -2.621158
142.957000, 5.540105, -0.897369, -2.621155
143.059000, 5.540105, -0.897369, -2.621149
143.167000, 5.540105, -0.897369, -2.621146
143.244000, 5.540105, -0.897369, -2.621145
143.367000, 5.540105, -0.897369, -2.621142
143.454000, 5.540105, -0.897369, -2.621138
143.562000, 5.540105, -0.897369, -2.621135
143.658000, 5.540105, -0.897369, -2.621133
143.763000, 5.540105, -0.897369, -2.621131
143.857000, 5.540105, -0.897369, -2.621129
143.954000, 5.540105, -0.897369, -2.621128
144.055000, 5.540105, -0.897369, -2.621124
144.166000, 5.540105, -0.897369, -2.621123
144.247000, 5.540105, -0.897369, -2.621122
144.360000, 5.540105, -0.897369, -2.621119
144.461000, 5.540105, -0.897369, -2.621112
144.560000, 5.540105, -0.897369, -2.621109
144.657000, 5.540105, -0.897369, -2.621108
144.759000, 5.540105, -0.897369, -2.621106
144.863000, 5.540105, -0.897369, -2.621101
144.963000, 5.540105, -0.897369, -2.621099
145.062000, 5.540105, -0.897369, -2.621095
145.153000, 5.540105, -0.897369, -2.621093
145.257000, 5.540105, -0.897369, -2.621090
145.364000, 5.540105, -0.897369, -2.621088
145.461000, 5.540105, -0.897369, -2.621085
145.558000, 5.540105, -0.897369, -2.621081
145.661000, 5.540105, -0.897369, -2.621078
145.763000, 5.540105, -0.897369, -2.621077
