1645526426.663843, -nan, -nan, -nan
1645526426.784636, 0.009450, 0.009983, 0.000296
1645526426.863627, 0.009450, 0.009983, 0.000296
1645526426.982662, 0.009450, 0.009983, 0.000296
1645526427.062433, 0.009450, 0.009983, 0.000296
1645526427.182409, 0.009450, 0.009983, 0.000296
1645526427.282465, 0.009450, 0.009983, 0.000296
1645526427.382212, 0.009450, 0.009983, 0.000296
1645526427.501084, 0.009450, 0.009983, 0.000296
1645526427.581249, 0.009450, 0.009983, 0.000296
1645526427.680981, 0.009450, 0.009983, 0.000296
1645526427.779977, 0.009450, 0.009983, 0.000296
1645526427.880040, 0.009450, 0.009983, 0.000296
1645526427.979853, 0.009450, 0.009983, 0.000296
1645526428.078847, 0.009450, 0.009983, 0.000296
1645526428.198675, 0.009450, 0.009983, 0.000296
1645526428.297662, 0.009450, 0.009983, 0.000296
1645526428.377489, 0.009450, 0.009983, 0.000296
1645526428.477469, 0.009450, 0.009983, 0.000296
1645526428.577340, 0.009450, 0.009983, 0.000296
1645526428.696281, 0.009450, 0.009983, 0.000296
1645526428.756219, 0.009450, 0.009983, 0.000296
1645526428.896086, 0.009450, 0.009983, 0.000296
1645526428.955103, 0.009450, 0.009983, 0.000296
1645526429.074894, 0.009450, 0.009983, 0.000296
1645526429.173934, 0.009450, 0.009983, 0.000296
1645526429.293945, 0.009450, 0.009983, 0.000296
1645526429.353766, 0.009450, 0.009983, 0.000296
1645526429.452881, 0.009450, 0.009983, 0.000296
1645526429.572643, 0.009450, 0.009983, 0.000296
1645526429.672585, 0.009450, 0.009983, 0.000296
1645526429.772396, 0.009450, 0.009983, 0.000296
1645526429.871794, 0.009450, 0.009983, 0.000296
1645526429.971334, 0.009450, 0.009983, 0.000296
1645526430.071211, 0.009450, 0.009983, 0.000296
1645526430.170168, 0.009450, 0.009983, 0.000296
1645526430.270175, 0.009450, 0.009983, 0.000296
1645526430.370070, 0.009450, 0.009983, 0.000296
1645526430.489074, 0.009450, 0.009983, 0.000296
1645526430.588923, 0.009450, 0.009983, 0.000296
1645526430.669111, 0.009450, 0.009983, 0.000296
1645526430.767795, 0.009450, 0.009983, 0.000296
1645526430.867895, 0.009450, 0.009983, 0.000296
1645526430.967731, 0.009450, 0.009983, 0.000296
1645526431.067804, 0.009450, 0.009983, 0.000296
1645526431.186514, 0.009450, 0.009983, 0.000296
1645526431.266406, 0.009450, 0.009983, 0.000296
1645526431.366313, 0.009450, 0.009983, 0.000296
1645526431.466321, 0.009450, 0.009983, 0.000296
1645526431.565202, 0.009450, 0.009983, 0.000296
1645526431.665155, 0.009450, 0.009983, 0.000296
1645526431.785009, 0.009450, 0.009983, 0.000296
1645526431.864025, 0.009450, 0.009983, 0.000296
1645526431.963952, 0.009450, 0.009983, 0.000296
1645526432.063915, 0.009450, 0.009983, 0.000296
1645526432.203943, 0.009450, 0.009983, 0.000296
1645526432.282758, 0.009450, 0.009983, 0.000296
1645526432.382630, 0.009450, 0.009983, 0.000296
1645526432.481549, 0.009450, 0.009983, 0.000296
1645526432.561447, 0.009450, 0.009983, 0.000296
1645526432.681249, 0.009450, 0.009983, 0.000296
1645526432.780174, 0.009450, 0.009983, 0.000296
1645526432.900333, 0.009450, 0.009983, 0.000296
1645526432.980058, 0.009450, 0.009983, 0.000296
1645526433.059134, 0.009450, 0.009983, 0.000296
1645526433.159150, 0.009450, 0.009983, 0.000296
1645526433.279069, 0.009450, 0.009983, 0.000296
1645526433.377896, 0.009450, 0.009983, 0.000296
1645526433.457946, 0.009450, 0.009983, 0.000296
1645526433.577748, 0.009450, 0.009983, 0.000296
1645526433.697671, 0.009450, 0.009983, 0.000296
1645526433.757639, 0.009450, 0.009983, 0.000296
1645526433.836609, 0.009450, 0.009983, 0.000296
1645526433.976619, 0.009450, 0.009983, 0.000296
1645526434.075347, 0.009450, 0.009983, 0.000296
1645526434.175354, 0.009450, 0.009983, 0.000296
1645526434.275125, 0.009450, 0.009983, 0.000296
1645526434.355216, 0.009450, 0.009983, 0.000296
1645526434.473989, 0.009450, 0.009983, 0.000296
1645526434.573918, 0.009450, 0.009983, 0.000296
1645526434.673985, 0.009450, 0.009983, 0.000296
1645526434.773878, 0.009450, 0.009983, 0.000296
1645526434.872872, 0.009450, 0.009983, 0.000296
1645526434.972711, 0.009450, 0.009983, 0.000296
1645526435.092790, 0.009450, 0.009983, 0.000296
1645526435.191722, 0.009450, 0.009983, 0.000296
1645526435.271683, 0.009450, 0.009983, 0.000296
1645526435.351748, 0.009450, 0.009983, 0.000296
1645526435.490465, 0.009450, 0.009983, 0.000296
1645526435.570407, 0.009450, 0.009983, 0.000296
1645526435.670324, 0.009450, 0.009983, 0.000296
1645526435.789127, 0.009450, 0.009983, 0.000296
1645526435.889158, 0.009450, 0.009983, 0.000296
1645526435.949333, 0.009450, 0.009983, 0.000296
1645526436.087986, 0.009450, 0.009983, 0.000296
1645526436.167916, 0.009450, 0.009983, 0.000296
1645526436.287967, 0.009450, 0.009983, 0.000296
1645526436.347834, 0.009450, 0.009983, 0.000296
1645526436.486766, 0.009450, 0.009983, 0.000296
1645526436.586667, 0.009450, 0.009983, 0.000296
1645526436.646808, 0.009450, 0.009983, 0.000296
1645526436.785556, 0.009450, 0.009983, 0.000296
1645526436.845565, 0.009450, 0.009983, 0.000296
1645526436.945621, 0.009450, 0.009983, 0.000296
1645526437.065374, 0.009450, 0.009983, 0.000296
1645526437.184074, 0.009450, 0.009983, 0.000296
1645526437.305247, 0.009450, 0.009983, 0.000296
1645526437.364055, 0.009450, 0.009983, 0.000296
1645526437.483831, 0.009450, 0.009983, 0.000296
1645526437.582983, 0.009450, 0.009983, 0.000296
1645526437.683011, 0.009450, 0.009983, 0.000296
1645526437.782866, 0.009450, 0.009983, 0.000296
1645526437.881708, 0.009450, 0.009983, 0.000296
1645526437.981625, 0.009450, 0.009983, 0.000296
1645526438.061695, 0.009450, 0.009983, 0.000296
1645526438.160453, 0.009450, 0.009983, 0.000296
1645526438.260519, 0.009450, 0.009983, 0.000296
1645526438.380477, 0.009450, 0.009983, 0.000296
1645526438.479320, 0.009450, 0.009983, 0.000296
1645526438.579230, 0.009450, 0.009983, 0.000296
1645526438.679207, 0.009450, 0.009983, 0.000296
1645526438.778178, 0.009450, 0.009983, 0.000296
1645526439.078133, 0.009450, 0.009983, 0.000296
1645526439.196860, 0.009450, 0.009983, 0.000296
1645526439.276920, 0.009450, 0.009983, 0.000296
1645526439.376709, 0.009450, 0.009983, 0.000296
1645526439.476943, 0.009450, 0.009983, 0.000296
