1645526860.143679, -nan, -nan, -nan
1645526860.223694, 0.004366, -2.409696, -0.000577
1645526860.343663, 0.004366, -2.409696, -0.000577
1645526860.423554, 0.004366, -2.409696, -0.000577
1645526860.523556, 0.004366, -2.409696, -0.000577
1645526860.623549, 0.004366, -2.409696, -0.000577
1645526860.724468, 0.004366, -2.409696, -0.000577
1645526860.824593, 0.004366, -2.409696, -0.000577
1645526860.923466, 0.004366, -2.409696, -0.000577
1645526861.003415, 0.004366, -2.409696, -0.000577
1645526861.123432, 0.004366, -2.409696, -0.000577
1645526861.223396, 0.004366, -2.409696, -0.000577
1645526861.323587, 0.004366, -2.409696, -0.000577
1645526861.423340, 0.004366, -2.409696, -0.000577
1645526861.523310, 0.004366, -2.409696, -0.000577
1645526861.603328, 0.004366, -2.409696, -0.000577
1645526861.724214, 0.004366, -2.409696, -0.000577
1645526861.823246, 0.004366, -2.409696, -0.000577
1645526861.923192, 0.004366, -2.409696, -0.000577
1645526862.023235, 0.004366, -2.409696, -0.000577
1645526862.123137, 0.004366, -2.409696, -0.000577
1645526862.223257, 0.004366, -2.409696, -0.000577
1645526862.323019, 0.004366, -2.409696, -0.000577
1645526862.423137, 0.004366, -2.409696, -0.000577
1645526862.543029, 0.004366, -2.409696, -0.000577
1645526862.622985, 0.004366, -2.409696, -0.000577
1645526862.722893, 0.004366, -2.409696, -0.000577
1645526862.822939, 0.004366, -2.409696, -0.000577
1645526862.922981, 0.004366, -2.409696, -0.000577
1645526863.042838, 0.004366, -2.409696, -0.000577
1645526863.102815, 0.004366, -2.409696, -0.000577
1645526863.242753, 0.004366, -2.409696, -0.000577
1645526863.342717, 0.004366, -2.409696, -0.000577
1645526863.423388, 0.004366, -2.409696, -0.000577
1645526863.522714, 0.004366, -2.409696, -0.000577
1645526863.642715, 0.004366, -2.409696, -0.000577
1645526863.742549, 0.004366, -2.409696, -0.000577
1645526863.821727, 0.004366, -2.409696, -0.000577
1645526863.941607, 0.004366, -2.409696, -0.000577
1645526864.041667, 0.004366, -2.409696, -0.000577
1645526864.122379, 0.004366, -2.409696, -0.000577
1645526864.241510, 0.004366, -2.409696, -0.000577
1645526864.322430, 0.004366, -2.409696, -0.000577
1645526864.422434, 0.004366, -2.409696, -0.000577
1645526864.522486, 0.004366, -2.409696, -0.000577
1645526864.621373, 0.004366, -2.409696, -0.000577
1645526864.721296, 0.004366, -2.409696, -0.000577
1645526864.821262, 0.004366, -2.409696, -0.000577
1645526864.921268, 0.004366, -2.409696, -0.000577
1645526865.021273, 0.004366, -2.409696, -0.000577
1645526865.122166, 0.004366, -2.409696, -0.000577
1645526865.242306, 0.004366, -2.409696, -0.000577
1645526865.322225, 0.004366, -2.409696, -0.000577
1645526865.422252, 0.004366, -2.409696, -0.000577
1645526865.542214, 0.004366, -2.409696, -0.000577
1645526865.621267, 0.004366, -2.409696, -0.000577
1645526865.741027, 0.004366, -2.409696, -0.000577
1645526865.821016, 0.004366, -2.409696, -0.000577
